,Batsmen,R,B,4s,6s,SR
204,Hasan MahmudHasan Mahmud  run out (Kagiso Rabada),0,2,0,0,0
205,Mustafizur RahmanMustafizur Rahman  NOT OUT,9,4,0,1,225
206,"Extras (w 4, b 4, lb 1)",9,,,,
207,"Total (all out, 16.3 overs)",101,,,,
208,KL RahulKL Rahul  lbw Paul van Meekeren,9,12,1,0,75
209,Rohit SharmaRG Sharma  c Colin Ackermann b Fred Klaassen,53,39,4,3,135.89
210,Virat KohliV Kohli  NOT OUT,62,44,3,2,140.9
211,Suryakumar YadavSK Yadav  NOT OUT,51,25,7,1,204
212,Bhuvneshwar KumarB Kumar,-,-,-,-,-
213,Hardik PandyaHH Pandya,-,-,-,-,-
214,Dinesh KarthikKD Karthik,-,-,-,-,-
215,Mohammed ShamiMohammed Shami,-,-,-,-,-
216,Axar PatelAR Patel,-,-,-,-,-
217,Ravichandran AshwinR Ashwin,-,-,-,-,-
218,Arshdeep SinghArshdeep Singh,-,-,-,-,-
219,"Extras (w 3, lb 1)",4,,,,
220,"Total (2 wickets, 20 overs)",179,,,,
221,Max O'DowdMP O'Dowd  b Axar Patel,16,10,3,0,160
222,Vikram SinghVikram Singh  b Bhuvneshwar Kumar,1,9,0,0,11.11
223,Bas de LeedeBFW de Leede  c Hardik Pandya b Axar Patel,16,23,0,0,69.56
224,Colin AckermannCN Ackermann  c Axar Patel b Ravichandran Ashwin,17,21,1,0,80.95
225,Tom CooperTLW Cooper  c Deepak Hooda b Ravichandran Ashwin,9,12,0,0,75
226,Scott EdwardsSA Edwards  c Deepak Hooda b Bhuvneshwar Kumar,5,8,0,0,62.5
227,Tim PringleTJG Pringle  c Virat Kohli b Mohammed Shami,20,15,1,1,133.33
228,Logan van BeekL van Beek  c Dinesh Karthik b Arshdeep Singh,3,5,0,0,60
229,Shariz AhmadShariz Ahmad  NOT OUT,16,11,2,0,145.45
230,Fred KlaassenFJ Klaassen  lbw Arshdeep Singh,0,1,0,0,0
231,Paul van MeekerenPA van Meekeren  NOT OUT,14,6,3,0,233.33
232,"Extras (nb 1, w 3, lb 2)",6,,,,
233,"Total (9 wickets, 20 overs)",123,,,,
234,Wesley MadhevereW Madhevere  lbw Mohammad Wasim,17,13,3,0,130.76
235,Craig ErvineCR Ervine  c Mohammad Wasim b Haris Rauf,19,19,2,0,100
236,Milton ShumbaM Shumba  c & b Shadab Khan,8,10,1,0,80
237,Sean WilliamsSC Williams  b Shadab Khan,31,28,3,0,110.71
238,Sikandar RazaSikandar Raza  c Haris Rauf b Mohammad Wasim,9,16,1,0,56.25
239,Regis ChakabvaRW Chakabva  c Babar Azam b Shadab Khan,0,1,0,0,0
240,Ryan BurlRP Burl  NOT OUT,10,15,0,0,66.66
241,Luke JongweLM Jongwe  b Mohammad Wasim,0,1,0,0,0
242,Brad EvansB Evans  b Mohammad Wasim,19,15,0,1,126.66
243,Richard NgaravaR Ngarava  NOT OUT,3,2,0,0,150
244,Blessing MuzarabaniB Muzarabani,-,-,-,-,-
245,"Extras (w 6, lb 8)",14,,,,
246,"Total (8 wickets, 20 overs)",130,,,,
247,Mohammad RizwanMohammad Rizwan  b Blessing Muzarabani,14,16,1,1,87.5
248,Babar AzamBabar Azam  c Ryan Burl b Brad Evans,4,9,1,0,44.44
249,Shan MasoodShan Masood  st Regis Chakabva b Sikandar Raza,44,38,3,0,115.78
250,Iftikhar AhmedIftikhar Ahmed  c Regis Chakabva b Luke Jongwe,5,10,1,0,50
251,Shadab KhanShadab Khan  c Sean Williams b Sikandar Raza,17,14,0,1,121.42
252,Haider AliHaider Ali  lbw Sikandar Raza,0,1,0,0,0
253,Mohammad NawazMohammad Nawaz  c Craig Ervine b Brad Evans,22,18,1,1,122.22
254,Mohammad WasimMohammad Wasim  NOT OUT,12,13,2,0,92.3
255,Shaheen Shah AfridiShaheen Shah Afridi  run out (Sikandar Raza/Regis Chakabva),1,1,0,0,100
256,Haris RaufHaris Rauf,-,-,-,-,-
257,Naseem ShahNaseem Shah,-,-,-,-,-
258,"Extras (w 5, lb 5)",10,,,,
259,"Total (8 wickets, 20 overs)",129,,,,
260,Finn AllenFH Allen  b Maheesh Theekshana,1,3,0,0,33.33
261,Devon ConwayDP Conway  b Dhananjaya de Silva,1,4,0,0,25
262,Kane WilliamsonKS Williamson  c Kusal Mendis b Kasun Rajitha,8,13,1,0,61.53
263,Glenn PhillipsGD Phillips  c Dasun Shanaka b Lahiru Kumara,104,64,10,4,162.5
264,Daryl MitchellDJ Mitchell  b Wanindu Hasaranga,22,24,0,0,91.66
265,Jimmy NeeshamJDS Neesham  c Dasun Shanaka b Kasun Rajitha,5,8,0,0,62.5
266,Mitch SantnerMJ Santner  NOT OUT,11,5,0,1,220
267,Ish SodhiIS Sodhi  run out (Kusal Mendis/Ashen Bandara),1,1,0,0,100
268,Tim SoutheeTG Southee  NOT OUT,4,1,1,0,400
269,Lockie FergusonLH Ferguson,-,-,-,-,-
270,Trent BoultTA Boult,-,-,-,-,-
271,"Extras (nb 3, w 5, lb 2)",10,,,,
272,"Total (7 wickets, 20 overs)",167,,,,
273,Pathum NissankaP Nissanka  lbw Tim Southee,0,5,0,0,0
274,Kusal MendisKusal Mendis  c Devon Conway b Trent Boult,4,3,1,0,133.33
275,Dhananjaya de SilvaDM de Silva  b Trent Boult,0,3,0,0,0
276,Charith AsalankaKIC Asalanka  c Finn Allen b Trent Boult,4,8,0,0,50
277,Bhanuka RajapaksaPBB Rajapaksa  c Kane Williamson b Lockie Ferguson,34,22,3,2,154.54
278,Chamika KarunaratneC Karunaratne  c Trent Boult b Mitch Santner,3,8,0,0,37.5
279,Dasun ShanakaMD Shanaka  c Daryl Mitchell b Trent Boult,35,32,4,1,109.37
280,Wanindu HasarangaW Hasaranga  c Kane Williamson b Ish Sodhi,4,6,1,0,66.66
281,Maheesh TheekshanaM Theekshana  c Jimmy Neesham b Mitch Santner,0,3,0,0,0
282,Kasun RajithaCAK Rajitha  NOT OUT,8,21,0,0,38.09
283,Lahiru KumaraCBRLS Kumara  st Devon Conway b Ish Sodhi,4,5,1,0,80
284,Extras (w 6),6,,,,
285,"Total (all out, 19.2 overs)",102,,,,
286,Najmul Hossain ShantoNajmul Hossain Shanto  c Craig Ervine b Sikandar Raza,71,55,7,1,129.09
287,Soumya SarkarSoumya Sarkar  c Regis Chakabva b Blessing Muzarabani,0,2,0,0,0
288,Litton DasLitton Das  c Tendai Chatara b Blessing Muzarabani,14,12,3,0,116.66
289,Shakib Al HasanS Al Hasan  c Blessing Muzarabani b Sean Williams,23,20,1,0,115
290,Afif HossainAfif Hossain  lbw Richard Ngarava,29,19,1,1,152.63
291,Musaddek HossainMusaddek Hossain  c Tendai Chatara b Richard Ngarava,7,10,0,0,70
292,Nurul HasanNurul Hasan  run out (Sean Williams),1,1,0,0,100
293,Yasir AliYasir Ali  NOT OUT,1,1,0,0,100
294,Taskin AhmedTaskin Ahmed,-,-,-,-,-
295,Hasan MahmudHasan Mahmud,-,-,-,-,-
296,Mustafizur RahmanMustafizur Rahman,-,-,-,-,-
297,Extras (w 4),4,,,,
298,"Total (7 wickets, 20 overs)",150,,,,
299,Wessly MadhevereW Madhevere  c Mustafizur Rahman b Taskin Ahmed,4,3,1,0,133.33
300,Craig ErvineCR Ervine  c Nurul Hasan b Taskin Ahmed,8,7,2,0,114.28
301,Milton ShumbaM Shumba  c Shakib Al Hasan b Mustafizur Rahman,8,15,1,0,53.33
302,Sean WilliamsSC Williams  run out (Shakib Al Hasan),64,42,8,0,152.38
303,Sikandar RazaSikandar Raza  c Afif Hossain b Mustafizur Rahman,0,3,0,0,0
304,Regis ChakabvaRW Chakabva  c Nurul Hasan b Taskin Ahmed,15,19,0,0,78.94
305,Ryan BurlRP Burl  NOT OUT,27,25,2,1,108
306,Brad EvansB Evans  c Afif Hossain b Musaddek Hossain,2,2,0,0,100
307,Richard NgaravaR Ngarava  st Nurul Hasan b Musaddek Hossain,6,3,0,1,200
308,Blessing MuzarabaniB Muzarabani  NOT OUT,0,2,0,0,0
309,Tendai ChataraTL Chatara,-,-,-,-,-
310,"Extras (nb 1, w 3, lb 9)",13,,,,
