,Bowlers,O,M,R,W,Econ,Dots
296,Blessing MuzarabaniB Muzarabani,4,0,50,1,12.5,5
297,Wellington MasakadzaWP Masakadza,2,0,12,0,6,5
298,Ryan BurlRP Burl,1,0,14,0,14,1
299,Sikandar RazaSikandar Raza,3,0,18,1,6,5
300,Sean WilliamsSC Williams,2,0,9,2,4.5,6
301,Bhuvneshwar KumarB Kumar,3,1,11,1,3.66,14
302,Arshdeep SinghArshdeep Singh,2,0,9,1,4.5,9
303,Mohammed ShamiMohammed Shami,2,0,14,2,7,7
304,Hardik PandyaHH Pandya,3,0,16,2,5.33,10
305,Ravichandran AshwinR Ashwin,4,0,22,3,5.5,13
306,Axar PatelAR Patel,3.2,0,40,1,12,4
